id,movieData_pl_title,streaming_netflix_internalId,rating_filmweb_internalId,rating_filmweb_title,rating_filmweb_year,rating_filmweb_type,rating_filmweb_subType,rating_filmweb_originalTitle,rating_filmweb_posterPath,rating_filmweb_value,rating_filmweb_count,rating_filmweb_wantToSee
35,Wybory Paytona Hobarta,80241248,807247,Wybory Paytona Hobarta,2019,serial,serial_tv,The Politician,/72/47/807247/7896478_1.$.jpg,7.00693,4615,1904
36,Grace i Frankie,80017537,718441,Grace i Frankie,2015,serial,serial_tv,Grace and Frankie,/84/41/718441/8008787_1.$.jpg,7.85095,26923,8861
37,FUBAR,81397077,10014149,Fubar,2023,serial,serial_tv,Fubar,/41/49/10014149/8068182_1.$.jpg,5.72909,3610,1182
38,Facet z Florydy,81157207,10023101,Facet z Florydy,2023,serial,mini_serial,Florida Man,/31/01/10023101/8061563_1.$.jpg,6.39497,1114,333
39,KAOS,80997258,810065,Kaos,2024,serial,serial_tv,Kaos,/00/65/810065/8141024.$.jpg,7.01596,1378,2327
40,Zagubieni,70136118,133834,Zagubieni,2004,serial,serial_tv,Lost,/38/34/133834/7177044_2.$.jpg,7.55806,175107,25359
41,Peaky Blinders,80002479,680981,Peaky Blinders,2013,serial,serial_tv,Peaky Blinders,/09/81/680981/7770961_2.$.jpg,8.55564,130755,56956
42,Kłamstwo doskonałe,80240371,821611,Kłamstwo doskonałe,2019,film,film_cinema,The Good Liar,/16/11/821611/7903342_2.$.jpg,6.56505,20476,5101
43,Dżentelmeni,81437051,817420,Dżentelmeni,2019,film,film_cinema,The Gentlemen,/74/20/817420/7908436_2.$.jpg,7.60272,80744,31198
44,Mocny temat,81600418,10048344,Mocny temat,2024,film,film_cinema,Scoop,/83/44/10048344/8119387_1.$.jpg,5.82106,3476,1154
45,Eric,81284301,10047792,Eric,2024,serial,mini_serial,Eric,/77/92/10047792/8120502_1.$.jpg,6.47451,7100,3626
46,W garniturach,70195800,585726,W garniturach,2011,serial,serial_tv,Suits,/57/26/585726/7770934_2.$.jpg,8.11087,134394,51154
47,Wypadek,81659092,10057566,Wypadek,2024,serial,serial_tv,Accidente,/75/66/10057566/8137282.$.jpg,5.54751,663,177
48,Doppelgänger. Sobowtór,81913749,10056145,Doppelganger. Sobowtór,2024,serial,mini_serial,Doppelganger. Sobowtór,,6.85165,728,269
49,Wybawienie,81582382,10016321,Wybawienie,2024,film,film_cinema,The Deliverance,/63/21/10016321/8134168.$.jpg,4.71163,2202,646
50,Detektyw Monk,70157334,95231,Detektyw Monk,2002,serial,serial_tv,Monk,/52/31/95231/7343581_1.$.jpg,7.43243,79185,6626
51,Stamtąd,81446288,10004652,Stamtąd,2022,serial,serial_tv,From,/46/52/10004652/8080256_1.$.jpg,7.39271,22378,12645
52,Emily w Paryżu,81037371,832425,Emily w Paryżu,2020,serial,serial_tv,Emily in Paris,/24/25/832425/7990601_2.$.jpg,6.22311,38581,3420
53,Problem trzech ciał,81024821,10030298,Problem trzech ciał,2024,serial,serial_tv,3 Body Problem,/02/98/10030298/8117491_1.$.jpg,6.55544,19516,10195
54,The Umbrella Academy,80186863,797238,The Umbrella Academy,2019,serial,serial_tv,The Umbrella Academy,/72/38/797238/8099931_1.$.jpg,7.31428,61204,11593
55,Wybawienie,81582382,10016321,Wybawienie,2024,film,film_cinema,The Deliverance,/63/21/10016321/8134168.$.jpg,4.71163,2202,646
56,Doppelgänger. Sobowtór,81913749,10056145,Doppelganger. Sobowtór,2024,serial,mini_serial,Doppelganger. Sobowtór,,6.85165,728,269
57,Pierwszaki,81715819,10053866,Pierwszaki,2024,film,film_cinema,Incoming,/38/66/10053866/8141267.$.jpg,5.65076,2116,307
58,Związek,81282732,10013719,Związek,2024,film,film_cinema,The Union,/37/19/10013719/8133605.$.jpg,5.03935,4828,970
59,Minionki: Wejście Gru,81198916,778537,Minionki: Wejście Gru,2022,film,film_cinema,Minions: The Rise of Gru,/85/37/778537/8020219_2.$.jpg,6.4924,16771,4172
60,Whitney Houston: I Wanna Dance with Somebody,81672780,858051,Whitney Houston: I Wanna Dance with Somebody,2022,film,film_cinema,Whitney Houston: I Wanna Dance with Somebody,/80/51/858051/8049992_2.$.jpg,6.07882,6432,1996
61,Rozpuszczeni i bezkarni,81686583,10057840,Rozpuszczeni i bezkarni,2024,film,film_cinema,Príncipes salvajes,/78/40/10057840/8141534.$.jpg,4.06215,177,49
62,W potrzasku. Belfast '71,70301585,694279,W potrzasku. Belfast '71,2014,film,film_cinema,'71,/42/79/694279/7714511_1.$.jpg,6.69647,5380,4240
63,Wybawienie,81582382,10016321,Wybawienie,2024,film,film_cinema,The Deliverance,/63/21/10016321/8134168.$.jpg,4.71163,2202,646
64,Lobster,80058480,702950,Lobster,2015,film,film_cinema,The Lobster,/29/50/702950/7724743_1.$.jpg,6.82704,104548,41306
65,Late Night,80240954,826647,Late Night,2019,film,film_cinema,Late Night,/66/47/826647/7930772_2.$.jpg,6.09266,11396,1745
66,Dzień świstaka,563104,5293,Dzień świstaka,1993,film,film_cinema,Groundhog Day,/52/93/5293/7290669_1.$.jpg,7.204,148263,17333
67,Między słowami,60031214,104454,Między słowami,2003,film,film_cinema,Lost in Translation,/44/54/104454/7535937_2.$.jpg,7.43618,176314,55023
68,Kac Vegas,70113002,487211,Kac Vegas,2009,film,film_cinema,The Hangover,/72/11/487211/7258810_2.$.jpg,7.27244,730245,25631
69,Nie patrz w górę,81252357,848823,Nie patrz w górę,2021,film,film_cinema,Don't Look Up,/88/23/848823/7983647_1.$.jpg,6.7435,138734,9117
70,"Kocha, lubi, szanuje",70167068,564225,"Kocha, lubi, szanuje",2011,film,film_cinema,"Crazy, Stupid, Love.",/42/25/564225/7391828_2.$.jpg,7.35048,226334,30101
71,Lady Bird,80205227,762864,Lady Bird,2017,film,film_cinema,Lady Bird,/28/64/762864/7824421_1.$.jpg,6.69453,98837,37020
72,Bogdan Boner: Pierwszy dzień szkoły,81677045,10059635,Bogdan Boner: Pierwszy dzień szkoły,2024,film,film_cinema,Bogdan Boner: Pierwszy dzień szkoły,,6.29457,258,12
73,Bez tchu,81667161,10046549,Bez tchu,2024,serial,serial_tv,Respira,/65/49/10046549/8141543.$.jpg,7.00315,317,299
74,Koszmarni eks,81666858,10057152,Koszmarni eks,2024,serial,serial_tv,Worst Ex Ever,/71/52/10057152/8137956.$.jpg,6.46186,236,77
75,Miłość jest ślepa: Wielka Brytania,81676358,10048868,Miłość jest ślepa: Wielka Brytania,2024,tvshow,,Love Is Blind: UK,/88/68/10048868/8137143.$.jpg,6.29907,107,28
76,Yellowstone,80238738,799265,Yellowstone,2018,serial,serial_tv,Yellowstone,/92/65/799265/8091826_1.$.jpg,8.20867,22485,19049
77,Awantura,81447461,851246,Awantura,2023,serial,serial_tv,Beef,/12/46/851246/8063259_1.$.jpg,7.44261,22304,10550
78,Gambit królowej,80234304,840024,Gambit królowej,2020,serial,mini_serial,The Queen's Gambit,/00/24/840024/7932824_1.$.jpg,8.13094,169846,10033
79,Kompania braci,70308702,35584,Kompania braci,2001,serial,mini_serial,Band of Brothers,/55/84/35584/7402986_1.$.jpg,8.72926,137973,56056
80,The Crown,80025678,747284,The Crown,2016,serial,serial_tv,The Crown,/72/84/747284/8097580_1.$.jpg,8.19043,94975,31153
81,Bodyguard,80235864,4287,Bodyguard,1992,film,film_cinema,The Bodyguard,/42/87/4287/7774429_1.$.jpg,7.17567,103641,9374
82,Yellowstone,80238738,799265,Yellowstone,2018,serial,serial_tv,Yellowstone,/92/65/799265/8091826_1.$.jpg,8.20867,22485,19049
83,Skrytka,81518647,10004580,Skrytka,2022,film,film_cinema,The Outfit,/45/80/10004580/8000471_2.$.jpg,6.93944,6011,2960
84,Zodiak,70044686,191345,Zodiak,2007,film,film_cinema,Zodiac,/13/45/191345/7527406_2.$.jpg,7.18759,221181,56755
85,Kłamstwo,80115017,760093,Kłamstwo,2016,film,film_cinema,Denial,/00/93/760093/7775011_2.$.jpg,6.71439,9856,8964
86,Zwierzęta nocy,80113783,744969,Zwierzęta nocy,2016,film,film_cinema,Nocturnal Animals,/49/69/744969/7756602_1.$.jpg,7.2257,139349,43031
87,Gdzie śpiewają raki,81564396,873851,Gdzie śpiewają raki,2022,film,film_cinema,Where the Crawdads Sing,/38/51/873851/8021050_2.$.jpg,6.86849,40985,10158
88,Baby Fever,81416676,10012452,Baby Fever,2022,serial,serial_tv," Skruk",/24/52/10012452/8018010_1.$.jpg,6.06827,1084,216
89,Boyhood,70301281,629125,Boyhood,2014,film,film_cinema,Boyhood,/91/25/629125/7628805_1.$.jpg,7.01357,85115,53216
90,Osiecka,81774221,837774,Osiecka,2020,serial,serial_tv,Osiecka,/77/74/837774/7939878_2.$.jpg,6.25647,4523,1639
91,Ktoś całkiem obcy,70058019,229424,Ktoś całkiem obcy,2007,film,film_cinema,Perfect Stranger,/94/24/229424/7175732_2.$.jpg,6.75645,28610,6425
92,Kleo,81216677,10016153,Kleo,2022,serial,serial_tv,Kleo,/61/53/10016153/8136947.$.jpg,6.94029,2127,683
93,Clark,81113742,853683,Clark,2022,serial,mini_serial,Clark,/36/83/853683/8025768_2.$.jpg,6.79826,3569,1621
94,Pomniejszenie,80192836,503386,Pomniejszenie,2017,film,film_cinema,Downsizing,/33/86/503386/7818393_3.$.jpg,5.34757,36706,11330
95,Samce alfa,81559021,10024660,Samce alfa,2022,serial,serial_tv,Machos alfa,/46/60/10024660/8054026_1.$.jpg,7.23147,3089,1089
96,Le Mans '66,81056197,705791,Le Mans '66,2019,film,film_cinema,Ford v Ferrari,/57/91/705791/7898351_1.$.jpg,7.93009,90258,23593
97,Gra,1178866,62,Gra,1997,film,film_cinema,The Game,/00/62/62/7521204_1.$.jpg,7.83791,228902,75471
98,Unorthodox,81019069,848385,Unorthodox,2020,serial,mini_serial,Unorthodox,/83/85/848385/7918693_1.$.jpg,7.54457,55025,7374
99,Dark,80100172,771383,Dark,2017,serial,serial_tv,Dark,/13/83/771383/7814585_2.$.jpg,8.19148,165807,37284
100,Jeden dzień,81256740,571418,Jeden dzień,2011,film,film_cinema,One Day,/14/18/571418/7403658_1.$.jpg,7.48741,169406,42217
101,The OA,80044950,743791,The OA,2016,serial,serial_tv,The OA,/37/91/743791/7878504_1.$.jpg,7.20951,32400,16136
102,Playlista,81186296,10020071,Playlista,2022,serial,mini_serial,Spellistan,/00/71/10020071/8032432_1.$.jpg,6.90217,3363,965
103,Upadek,70272726,11398,Upadek,1993,film,film_cinema,Falling Down,/13/98/11398/7869875_1.$.jpg,7.66686,99890,36212
104,Porwanie lotu IC 814,81265803,10049492,Porwanie lotu IC 814,2024,serial,mini_serial,IC 814: The Kandahar Hijack,/94/92/10049492/8141458.$.jpg,5.87692,65,45
105,Magia syren,81486454,10060304,Magia syren,2024,serial,serial_tv,Mermaid Magic,/03/04/10060304/8142608.$.jpg,8.66667,6,1
106,The Good Doctor,80176893,790126,The Good Doctor,2017,serial,serial_tv,The Good Doctor,/01/26/790126/8112007_1.$.jpg,7.83338,36112,13246
107,Młody Sheldon,80192612,788971,Młody Sheldon,2017,serial,serial_tv,Young Sheldon,/89/71/788971/7845603_2.$.jpg,7.54699,17163,4850
108,Skazani na Shawshank,70005379,1048,Skazani na Shawshank,1994,film,film_cinema,The Shawshank Redemption,/10/48/1048/6925401_1.$.jpg,8.79424,928927,105377
109,Rekrut,81666165,33334,Rekrut,2003,film,film_cinema,The Recruit,/33/34/33334/6900541_1.$.jpg,7.22362,65544,11250
110,Kingsman: Tajne służby,80013870,682272,Kingsman: Tajne służby,2014,film,film_cinema,Kingsman: The Secret Service,/22/72/682272/7659878_1.$.jpg,7.32665,204994,27608
111,Dom z papieru,80192098,792826,Dom z papieru,2017,serial,serial_tv,La casa de papel,/28/26/792826/7917652_1.$.jpg,8.09901,218879,27884
112,Redeeming Love,81522433,858877,Redeeming Love,2022,film,film_cinema,Redeeming Love,/88/77/858877/8051416_2.$.jpg,6.79796,4895,1757
113,Rzeźbiarz łez,81711218,10048753,Rzeźbiarz łez,2024,film,film_cinema,Fabbricante di lacrime,/87/53/10048753/8118690_2.$.jpg,5.09816,5756,773
114,Jak stracić chłopaka w 10 dni,60026122,38301,Jak stracić chłopaka w 10 dni,2003,film,film_cinema,How to Lose a Guy in 10 Days,/83/01/38301/6900688_1.$.jpg,6.75754,140272,8161
115,Kod da Vinci,70035186,124613,Kod da Vinci,2006,film,film_cinema,The Da Vinci Code,/46/13/124613/7612385_2.$.jpg,6.70095,579839,35704
116,Marsjanin,80058399,715533,Marsjanin,2015,film,film_cinema,The Martian,/55/33/715533/7722529_2.$.jpg,7.57171,290271,34801
117,Bullet Train,81511779,856701,Bullet Train,2022,film,film_cinema,Bullet Train,/67/01/856701/8021051_2.$.jpg,6.79747,66784,11720
118,Incepcja,70131314,500891,Incepcja,2010,film,film_cinema,Inception,/08/91/500891/7354571_1.$.jpg,8.24775,624925,66838
119,Bohemian Rhapsody,80994899,619201,Bohemian Rhapsody,2018,film,film_cinema,Bohemian Rhapsody,/92/01/619201/7863180_2.$.jpg,7.8716,232801,31075
120,Bez przebaczenia,1080395,1241,Bez przebaczenia,1992,film,film_cinema,Unforgiven,/12/41/1241/8022079_1.$.jpg,7.90112,92730,41608
121,Paradise PD,80191522,810632,Paradise PD,2018,serial,serial_tv,Paradise PD,/06/32/810632/7853417_1.$.jpg,7.00409,16885,2035
122,Siły Kosmiczne,81021929,820789,Siły Kosmiczne,2020,serial,serial_tv,Space Force,/07/89/820789/7993481_1.$.jpg,6.24041,13082,2968
123,Dobre Miejsce,80113701,765501,Dobre miejsce,2016,serial,serial_tv,The Good Place,/55/01/765501/7894875_1.$.jpg,7.46615,30402,8949
124,Eksplodujące kotki,81459282,10012015,Eksplodujące kotki,2024,serial,serial_tv,Exploding Kittens,/20/15/10012015/8130595.$.jpg,6.51838,1360,595
125,Oderwij wzdłuż linii,81304528,10003196,Oderwij wzdłuż linii,2021,serial,serial_tv,Strappare lungo i bordi,/31/96/10003196/7981624_1.$.jpg,8.35126,5913,2593
126,Derry Girls,80238565,801752,Derry Girls,2018,serial,serial_tv,Derry Girls,/17/52/801752/7873906_1.$.jpg,7.69542,7430,3011
127,Nasz kandydat,81520506,10023451,Nasz kandydat,2023,serial,serial_tv,En place,/34/51/10023451/8054123_1.$.jpg,6.036,250,96
128,1670,81553471,10042364,1670,2023,serial,serial_tv,1670,/23/64/10042364/8099402_1.$.jpg,7.95261,99684,14197
129,Krucjata,81774205,10023379,Krucjata,2022,serial,serial_tv,Krucjata,/33/79/10023379/8045723_1.$.jpg,6.95925,11829,3794
130,Rojst,81221644,808109,Rojst,2018,serial,serial_tv,Rojst,/81/09/808109/8116129_1.$.jpg,7.34435,78618,20608
131,"Lubię wracać tam, gdzie byłem",81774204,10045366,"Lubię wracać tam, gdzie byłem",2023,film,film_cinema,"Lubię wracać tam, gdzie byłem",,6.47654,682,76
132,Ziarno prawdy,81078805,705248,Ziarno prawdy,2015,film,film_cinema,Ziarno prawdy,/52/48/705248/7692569_2.$.jpg,6.90391,75202,21403
133,Erynie,81713150,870946,Erynie,2022,serial,serial_tv,Erynie,/09/46/870946/8038250_1.$.jpg,7.08998,5779,3672
134,Chrzciny,81728892,856080,Chrzciny,2022,film,film_cinema,Chrzciny,/60/80/856080/8014420_1.$.jpg,6.17229,11742,3639
135,Narcos,80025172,680486,Narcos,2015,serial,serial_tv,Narcos,/04/86/680486/7801516_1.$.jpg,8.45263,168233,42511
136,Trzynaście powodów,80117470,762209,Trzynaście powodów,2017,serial,serial_tv,Thirteen Reasons Why,/22/09/762209/7843652_2.$.jpg,7.08631,150704,25582
137,Altered Carbon,80097140,769613,Altered Carbon,2018,serial,serial_tv,Altered Carbon,/96/13/769613/7823943_1.$.jpg,7.36061,50972,20603
138,Brudna forsa,80118100,802280,Brudna forsa,2018,serial,serial_tv,Dirty Money,/22/80/802280/7828311_1.$.jpg,7.45759,3042,2241
139,Superhero,70090328,224961,Superhero,2008,film,film_cinema,Superhero Movie,/49/61/224961/7193847_2.$.jpg,5.68972,35055,3261
140,Destrukcja,80083754,688536,Destrukcja,2015,film,film_cinema,Demolition,/85/36/688536/7809372_1.$.jpg,6.88673,50243,26127
141,Pewnego razu... w Hollywood,81064867,804561,Pewnego razu... w Hollywood,2019,film,film_cinema,Once Upon a Time ... in Hollywood,/45/61/804561/7891889_2.$.jpg,7.25342,207299,34356
142,O wszystko zadbam,81350429,846413,O wszystko zadbam,2020,film,film_cinema,I Care a Lot,/64/13/846413/7943330_2.$.jpg,5.88888,56732,4831
143,Chrzciny,81728892,856080,Chrzciny,2022,film,film_cinema,Chrzciny,/60/80/856080/8014420_1.$.jpg,6.17229,11742,3639
144,W głowie psa,81681888,10057421,W głowie psa,2024,film,film_cinema,Inside the Mind of a Dog,/74/21/10057421/8139011.$.jpg,6.51043,623,188
145,Gad,81463014,10031941,Gad,2023,film,film_cinema,Reptile,/19/41/10031941/8087419_1.$.jpg,6.70761,28753,4675
146,The 8 Show,81719583,10023976,The 8 Show,2024,serial,serial_tv,Deo eiteu syo,/39/76/10023976/8122638_2.$.jpg,6.66014,4293,1449
147,Dekameron,81417084,10017947,Dekameron,2024,serial,serial_tv,The Decameron,/79/47/10017947/8137275.$.jpg,5.80238,1594,809
148,Punkty zwrotne: Bomba i zimna wojna,81614129,10048338,Punkty zwrotne: Bomba i zimna wojna,2024,serial,serial_tv,Turning Point: The Bomb and the Cold War,/83/38/10048338/8118026_1.$.jpg,7.66187,695,379
149,Facet z zasadami,81506171,10012901,Facet z zasadami,2024,serial,mini_serial,A Man in Full,/29/01/10012901/8123685_1.$.jpg,6.08404,1059,500
150,Obserwator,81380441,875816,Obserwator,2022,serial,mini_serial,The Watcher,/58/16/875816/8091683_2.$.jpg,6.43373,28926,4530
151,Czarna lista,70281312,683563,Czarna lista,2013,serial,serial_tv,The Blacklist,/35/63/683563/7653664_2.$.jpg,7.51721,22316,12947
152,Clickbait,80991754,864204,Clickbait,2021,serial,mini_serial,Clickbait,/42/04/864204/7967063_1.$.jpg,6.98453,10924,2478
153,Zagłada domu Usherów,81414665,10005539,Zagłada domu Usherów,2023,serial,mini_serial,The Fall of the House of Usher,/55/39/10005539/8085847_1.$.jpg,6.98066,13803,6186
154,The Sinner,80175802,782140,Grzesznica,2017,serial,serial_tv,The Sinner,/21/40/782140/7974971_1.$.jpg,7.55423,42526,15309
155,Sposób na morderstwo,80024057,710594,Sposób na morderstwo,2014,serial,serial_tv,How to Get Away with Murder,/05/94/710594/7735899_1.$.jpg,7.92043,49263,19136
156,Utalentowany pan Ripley,60000209,867,Utalentowany pan Ripley,1999,film,film_cinema,The Talented Mr. Ripley,/08/67/867/7535096_1.$.jpg,7.43141,97848,31776
157,Zostaw świat za sobą,81314956,10037850,Zostaw świat za sobą,2023,film,film_cinema,Leave the World Behind,/78/50/10037850/8097380_1.$.jpg,5.99116,39930,6847
158,Obietnica,60004419,681639,Obietnica,2014,film,film_cinema,Obietnica,/16/39/681639/7595613_1.$.jpg,4.41996,27031,10727
159,Podziemny krąg,26004747,837,Podziemny krąg,1999,film,film_cinema,Fight Club,/08/37/837/7522091_1.$.jpg,8.28693,632267,86359
160,Krzywe linie Boga,81453541,875533,Krzywe linie Boga,2022,film,film_cinema,Los renglones torcidos de Dios,/55/33/875533/8087776_1.$.jpg,6.91729,17494,4963
161,Lektor,70109683,439584,Lektor,2008,film,film_cinema,The Reader,/95/84/439584/7240104_2.$.jpg,7.80061,206802,63066
162,Astronauta,81301595,10033746,Astronauta,2024,film,film_cinema,Spaceman,/37/46/10033746/8105993_1.$.jpg,5.35197,5438,2753
163,Wyjazd na weekend,81283586,10007884,Wyjazd na weekend,2022,film,film_cinema,The Weekend Away,/78/84/10007884/8003301_1.$.jpg,5.25022,12657,698
164,Jak Aleksander Wielki został bogiem,81325194,10045991,Jak Aleksander Wielki został bogiem,2024,serial,serial_tv,Alexander: The Making of a God,/59/91/10045991/8111814_1.$.jpg,5.98607,646,226
165,Dobry opiekun,81260083,10018054,Dobry opiekun,2022,film,film_cinema,The Good Nurse,/80/54/10018054/8029220_1.$.jpg,6.37635,20457,4066
166,Uśmiech Mony Lizy,60031284,34923,Uśmiech Mony Lizy,2003,film,film_cinema,Mona Lisa Smile,/49/23/34923/6900616_1.$.jpg,7.11885,42086,15181
167,Zwerbowany,81396545,10024300,Zwerbowany,2022,serial,serial_tv,The Recruit,/43/00/10024300/8042445_1.$.jpg,6.56405,3388,960
168,Ósma strona,70209135,608840,Ósma strona,2011,film,film_tv,Page Eight,/88/40/608840/7533487_2.$.jpg,6.37475,7485,4641
169,Nowy początek,80117799,712896,Nowy początek,2016,film,film_cinema,Arrival,/28/96/712896/7756000_1.$.jpg,7.25393,191818,37264
170,Okruchy dnia,60011325,1234,Okruchy dnia,1993,film,film_cinema,The Remains of the Day,/12/34/1234/7708219_1.$.jpg,7.73894,36183,28074
171,Spotlight,80061341,723550,Spotlight,2015,film,film_cinema,Spotlight,/35/50/723550/7724898_1.$.jpg,7.55749,173808,53251
172,Ratched,80213445,800056,Ratched,2020,serial,serial_tv,Ratched,/00/56/800056/7928650_1.$.jpg,7.30287,30677,7294
173,Dwóch papieży,80174451,836600,Dwóch papieży,2019,film,film_cinema,The Two Popes,/66/00/836600/7897220_1.$.jpg,7.27855,109917,13918
174,Wąż,80206099,847956,Wąż,2021,serial,mini_serial,The Serpent,/79/56/847956/7959254_1.$.jpg,7.34572,20184,5434
175,Dziewiąte wrota,60000200,10682,Dziewiąte wrota,1999,film,film_cinema,The Ninth Gate,/06/82/10682/6900089_1.$.jpg,7.2039,211410,39867
176,Donnie Brasco,1151721,516,Donnie Brasco,1997,film,film_cinema,Donnie Brasco,/05/16/516/7730453_1.$.jpg,7.77197,139825,52972
177,Chłopcy z ferajny,70002022,1033,Chłopcy z ferajny,1990,film,film_cinema,Goodfellas,/10/33/1033/6941458_1.$.jpg,8.31484,315290,76619
178,Angielski pacjent,477351,7,Angielski pacjent,1996,film,film_cinema,The English Patient,/00/07/7/7101251_1.$.jpg,7.38499,73834,36668
179,Siedem lat w Tybecie,1179053,168,Siedem lat w Tybecie,1997,film,film_cinema,Seven Years in Tibet,/01/68/168/7984582_1.$.jpg,7.47286,142053,34758
180,Nędznicy,5670503,829448,Nędznicy,2019,film,film_cinema,Les Misérables,/94/48/829448/7916637_1.$.jpg,7.40751,17207,14121
